What was the best part of your day?,1
What did you do to help someone else today?,1
What is one thing you are grateful for today?,1
What is one thing you could have done better today?,1
"If you had this week to do over again, what would you do differently?",1
What’s the last thing that made you laugh?,1
Tell me about something that made you happy today.,1
"If you could go anywhere for dinner tomorrow, where would you go?",1
Have you been to any great new restaurants lately?,1
How are things going at work?,1
What kind of projects are you working on recently?,1
How was your day?,1
What absolutely excites you right now?,1
What is your present state of mind?,1
"If you could do anything you wanted tonight, what would you do and why?",1
What habit would you like to break?,1
"If you were going to start a new weekly or monthly tradition, what would that be?",1
What’s something you looked forward to all day?,1
What was the most important thing you did today?,1
What gave you the most joy today?,1
What caused you the most inner conflict and stress today?,1
What are you grateful for today?,1
What did you learn today?,1
What do you need to let go today?,1
How are you feeling right now?,1
Where is your attention going right now?,1
What did you discover new about yourself?,1
What can you do better tomorrow?,1
How did you make others feel today?,1
What was the best thing that happened to you today?,1
What made you particularly proud today?,1
How much stress did you experience today?,1
What made you smile today?,1
Did you do something that was out your comfort zone today?,1
How was your mood with others today and how can you improve it?,1
How well did you communicate with others today and how can you do this better?,1
What was your most challenging moment of the day and why? How will you respond next time?,1
What was your best moment today and how can you have more moments like it?,1
What made you smile today?,1
Can you tell me an example of kindness you saw/showed?,1
Was there an example of unkindness today? How did you respond?,1
Did anyone do anything silly to make you laugh?,1
Did you do anything creative?,1
Did you help anyone today?,1
Did you tell anyone “thank you”?,1
Who did you sit with at lunch?,1
What made you laugh today?,1
Who inspired you today?,1
What was the peak and the pit of the day?,1
What was your least favorite part of the day?,1
Was anyone at work gone today?,1
Did you ever feel unsafe today?,1
What is something you heard that surprised you?,1
What is something you saw that made you think?,1
Tell me something you know today that you didn't know yesterday.,1
What is something that challenged you?,1
How did someone fill your bucket today? Whose bucket did you fill?,1
Did you like your lunch?,1
Rate your day on a scale from 1-10.,1
Did anyone get in trouble today?,1
How were you brave today?,1
What questions did you ask at school today?,1
Tell us your top two things from the day,1
What are you looking forward to tomorrow?,1
What was the hardest rule to follow today?,1
Teach me something I don’t know.,1
"If you could change one thing about your day, what would it be?",1
Who did you share your snacks with at lunch?,1
What made your teacher smile? What made her frown?,1
What kind of person were you today?,1
What made you feel happy?,1
What made you feel proud?,1
What made you feel loved?,1
Did you learn any new words today?,1
"If you could switch seats with anyone in class, who would it be? And why?",1
